Nom;Pharmacien;contacts;localisation
Pharmacie   7Eme Tranche;Dr  Dayato Azian C Pascale;+225 22 52 56 83;rue l 84 - 1er carrefour a gauche apres le journal notre voie en venant d’attoban ou 1er carrefour a droiteapres le bar les cafeines - meme rue que la nouvelle ambassade de chine - par le bd latrille
Pharmacie   Olympique;Dr Coulibaly Kafana Daniel;+225 02 27 56 13 / +225 07 89 99 44;abobo ndotre a 300 m du carrefour ndotre route de yopougon
Pharmacie   Phénix;Dr Konan N'Guessan Matthieu;+225 23 45 22 00;banco ii - nouvelle route port bouet ii  - gare bdf
Pharmacie   Providence;Dr  Doh Jocelyne;+225 24 49 39 62;quartier banco - 1er arret sotra - debut autoroute anyama
Pharmacie  2 Plateaux Agban;Dr  Tia Annick;+225 57 49 08 68 / +225 01 45 67 49;ii plateaux entre nouveau marche & hopital des impots - sortie nord camp de la gendarmerie agban
Pharmacie  7 Lys;Dr  Fadiga Soumah Yahka;+225 22 42 63 25 / +225 07 83 66 61;100 m de la residence bada - 7eme tranche route d’angre attobancarrefour cite zinsou – hcr non loin du centre medical  la colombe
Pharmacie  8Ème Tranche;Dr  Tchemele Linda;+225 22 52 34 90 / +225 07 69 54 32;cafeiers 6 - apres la djibi - route 9eme tranche - face cite bceao
Pharmacie  Actuelle;Dr Kone Lassina;+225 01 22 20 32 / +225 08 91 85 83;route d’abobo baoule au niveau carrefour dit«carrefour angre»a 200 m college victor loba’d - sur nouvelle route reliant angre a abobo
Pharmacie  Adjame Bracodi;Dr  Bledou Dominique R.;+225 20 37 54 33;gare nord sotra dans la zone de stationnement des gbakas dans le sens adjame abobo
Pharmacie  Adjame Latin;Dr  N’Taye Siala Odile;+225 07 88 26 39 / +225 57 48 94 78;prolongement de l'avenue 13 - quartier latin habitat extension - pres du petit marche
Pharmacie  Adjame Sante;Dr  Kouassi Laurence;+225 20 22 85 44;pres de l'institut de sante - bd nangui abrogoua
Pharmacie  Aimess;Dr  Kouassi Jeannette;+225 20 37 21 24;williamsville ii  -  route macaci  - face crs
Pharmacie  Akadjoba;Dr Agoussi Marie Germain;+225 23 51 68 06 / +225 02 53 63 90 / +225 03 59 59 11;carrefour niangon sideci - non loin du palais de justice
Pharmacie  Akre Albert Assamoi;Dr  Liliane Akre;+225 22 40 39 37;nouvelle gare routiere de bingerville
Pharmacie  Akwaba;Dr  Yace Dominique;+225  21 58 73 15;aeroport international felix h. boigny
Pharmacie  Alicia;Dr Lokossou Kouassi Laurence;+225 23 45 11 52;yopougon ananeraie route de dabou entre manutention africaine  et carrefour sodeci  face quartier bonikro
Pharmacie  Alpha;Dr Cisse Massogbe;+225 21 25 88 80;avenue 16 rue 17 - a cote de treich-hotel
Pharmacie  Amina;Dr Koissy Kpein Serge;+225 24 39 95 65 / +225 07 67 68 98;abobo avocatier - pres  maternite henriette konan bedie pres du marche avocatier
Pharmacie  Ananeraie;Dr Galle Atabli Anselme;+225 23 50 87 32 / +225 07 00 75 45;ancienne route de dabou - carrefour oasis - face institut lkm
Pharmacie  Andy;Dr  Lartey Epse Allah Kouadio;+225 22 43 25 80 / +225 08 82 58 58;riviera golf - carrefour leader price - face station shell
Pharmacie  Angre;Dr  Koffi Aissatou Cisse;+225 22 42 11 06 / 57 04;sur prolongement bd latrille- entree quartier angre- bus 81 & 82
Pharmacie  Aniaman;Dr Dosso  Losseni;+225 20 32 12 29 / +225 07 07 16 76;rue joseph anoma (rue des banques° cote rue a. daudet - immeuble aniamana gauche carrefour de la bourse regionale des valeurs mobiliers
Pharmacie  Aniel;Dr Koffi Cadio;+225 21 28 56 24 / +225 07 09 07 52;bd du 7 decembre - dans les environs de l’ex pharmacie  nium pres de l’eglise st etienne
Pharmacie  Appaul;Dr  Coffi Goudou Raymonde;+225 22 50 26 40;cocody 8eme tranche - 50 m du collège ste camille - interieur centre commercial « park’n shop »
Pharmacie  Arc En Ciel;Dr  Toure Safiatou;+225 22 41 33 90;ii plateaux rue des jardins - carrefour commissariat 12eme arrondissent
Pharmacie  Artemia;Dr Effi N’Doua Esther;+225 23 52 38 54 / +225 07 26 42 57 / +225 08 05 86 434;face palais de justice
Pharmacie  Arums;Dr  Aime Dimbour Marie A.;+225  22 50 66 40;cocody ii plateaux  8eme tranche - carrefour bceao sur la grande voie menant a la cnps
Pharmacie  Assalam;Dr Diop N'Doye Bouly;+225 23 52 99 30;niangon sud a gauche au carrefour de l’allocodrome
Pharmacie  Assonvon;Dr Grah-Mel Mireille;+225 23 45 44 55;200 m du cinema saguidiba - pres hotel assonvon - derriere la cnps
Pharmacie  Atlantique;Dr Ouattara Kanigui Hyacinthe;+225 21 27 95 00;sogefiha pres du marche de nuit
Pharmacie  Aurore;Dr Ngouin-Claih Seraphin;Dr NGOUIN-CLAIH SERAPHIN;ii plateaux vallons axe carrefour ena - direction rue des jardins  - 100 m avant la biao et la station total
Pharmacie  Avocatier Marche;Dr Diop Kouame Juste;+225 09 30 38 52;abobo avocatier - a gauche apres la cie d’abobo nord -  apres formation sanitaire henriette konan bediecarrefour chateau pres groupe scolaire les angelots
Pharmacie  Awale;Dr Dano Djedje Sebastien;+225 23 51 82 42;yopougon face petit marche selmer
Pharmacie  Azur;Dr Chintoh Armstrong;+225 40 27 50 02;route du zoo plateau dokui azur - carrefour policier
Pharmacie  Baïty;Dr Sery Lou Marthe;+225 23 51 77 98 / +225 05 02 09 07;yopougon toit rouge pres de la gendarmerie
Pharmacie  Balneaire;Dr Motto Yao Armand;+225 21 58 07 09;route bassam - face entree 43ème bima
Pharmacie  Bd De France;Dr Brou Firmin;+225 22 44 74 08;gd marche de cocody - station agip bus n° 28 – 74
Pharmacie  Bd De La Paix;Dr Jean Claude Yao;+225 20 22 20 34 / +225 02 03 76 18;attecoube route de carena - face sebroko (onuci) pres station total
Pharmacie  Bd Mitterrand;Dr N’Douba Kassi Raphael;+225 22 47 90 45;route de bingerville - carrefour bonoumin km 9 apres carrefour ste famille
